Rank[a],Title,Production Company,Distributor,Worldwide Gross,Ref.,Year,Table_Number,Opening,Opening.1,Director,Cast,Studio (production house)
,Dange[e],,,,[30],2024,2,M A R,1.0,Bejoy Nambiar,Harshvardhan RaneEhan BhatNikita DuttaTJ Bhanu,"T-Series Films, Roox Media, Getaway Pictures"
,Operation Valentine[f],,,,[31],2024,2,M A R,1.0,Shakti Pratap Singh Hada,Varun TejManushi Chhillar,"Sony Pictures India, Renaissance Pictures, God Bless Entertainment"
,Kaagaz 2,,,,[32],2024,2,M A R,1.0,V. K. Prakash,Anupam KherDarshan KumarSmiriti KalraSatish KaushikNeena Gupta,"Satish Kaushik Entertainment, Venus Worldwide Entertainment"
,Fairy Folk,,,,[33],2024,2,M A R,1.0,Karan Gour,Rasika DuggalMukul ChaddaChandrachoor Rai,"Empatheia Films, Bala Wala Cinema, Awe Studios and Timbuktu Triforce Cinema & Entertainment"
,Shaitaan,,,,[34],2024,2,M A R,8.0,Vikas Bahl,Ajay DevgnR. MadhavanJyothika,"Jio Studios, Devgn Films, Panorama Studios, Good Co."
,Tera Kya Hoga Lovely,,,,[35],2024,2,M A R,8.0,Balwinder Singh Janjua,Randeep HoodaIleana D'CruzKaran Kundrra,"Sony Pictures India, Movie Tunnel Productions"
,Alpha Beta Gamma,,,,[36],2024,2,M A R,8.0,Shankar Srikumar,NishanAmit Kumar VashisthReena Aggarwal,"Choti Film Productions, Knownsense Entertainment"
,Yodha,,,,[37],2024,2,M A R,15.0,Sagar AmbrePushkar Ojha,Sidharth MalhotraRaashii KhannaDisha Patani,"Amazon MGM Studios, Dharma Productions, Mentor Disciple Entertainment"
,Bastar: The Naxal Story,,,,[38],2024,2,M A R,15.0,Sudipto Sen,Adah SharmaShilpa ShuklaYashpal SharmaSubrat DuttaRaima Sen,Sunshine Pictures
,Murder Mubarak,,,,[39],2024,2,M A R,15.0,Homi Adajania,Sara Ali KhanPankaj TripathiVijay VarmaDimple KapadiaKarisma KapoorSanjay KapoorTisca ChopraSuhail Nayyar,"Maddock Films, Netflix"
,Ae Watan Mere Watan,,,,[40],2024,2,M A R,21.0,Kannan Iyer,Sara Ali KhanSparsh SrivastavAnand TiwariBenedict GarrettAlexx O'NellAbhay Verma,"Dharmatic Entertainment, Amazon Prime Video"
,Madgaon Express,,,,[41],2024,2,M A R,22.0,Kunal Khemu,DivyennduPratik GandhiAvinash TiwaryNora FatehiUpendra LimayeChhaya Kadam,Excel Entertainment
,Swatantrya Veer Savarkar,,,,[42],2024,2,M A R,22.0,Randeep Hooda,Randeep HoodaAnkita LokhandeAmit Sial,"Zee Studios, Randeep Hooda Films, Anand Pandit Motion Pictures, Legend Studios, Avak Films"
,Crew,,,,[43],2024,2,M A R,29.0,Rajesh A Krishnan,TabuKareena Kapoor KhanKriti SanonDiljit Dosanjh,"Balaji Motion Pictures, Anil Kapoor Films & Communication Network"
,Woh Bhi Din The,,,,[44],2024,2,M A R,29.0,Sajid Ali,Rohit SarafAdarsh GouravSanjana Sanghi,"Rising Sun Films, Kino Works, ZEE5"
,Patna Shuklla,,,,[45],2024,2,M A R,29.0,Vivek Budakoti,Raveena TandonManav Vij,"Arbaaz Khan Production, Disney+ Hotstar"
,Bengal 1947,,,,[46],2024,2,M A R,29.0,Akashaditya Lama,Devoleena BhattacharjeeOmkar Das ManikpuriAditya LakhiaSohaila Kapur,"COMFED Productions, Think Tank Global"
,,,,,,2024,2,M A R,,,,
,Dukaan,,,,[47],2024,3,A P R,5.0,Siddharth–Garima,Monika PanwarSikandar KherMonali Thakur,"Waveband Productions, Kalamkaar Picture Productions"
,Bade Miyan Chote Miyan,,,,[48],2024,3,A P R,11.0,Ali Abbas Zafar,Akshay KumarTiger ShroffPrithviraj SukumaranManushi ChhillarAlaya FSonakshi SinhaRonit Bose Roy,"Pooja Entertainment, AAZ Films"
,Maidaan,,,,[49],2024,3,A P R,11.0,Amit Sharma,Ajay DevgnPriyamaniGajraj Rao,"Zee Studios, Bayview Projects, Fresh Lime Films"
,Amar Singh Chamkila,,,,[50],2024,3,A P R,12.0,Imtiaz Ali,Diljit DosanjhParineeti Chopra,"Window Seat Films, Select Media Holdings, Saregama, Netflix"
,Ameena,,,,[51],2024,3,A P R,12.0,Kumar Raj,Rekha RanaAnant Mahadevan,Kumar Raj Productions
,Gauraiya Live,,,,[52],2024,3,A P R,12.0,Gabriel Vats,Ada SinghRandhir Singh ThakurOmkar Das ManikpuriShagufta AliPankaj JhaSeema Saini,"Rare Films, Tea and Poetry Films"
,Silence 2: The Night Owl Bar Shootout,,,,[53],2024,3,A P R,16.0,Aban Bharucha Deohans,Manoj BajpayeePrachi DesaiSahil VaidParul GulatiShruti Bapna,"Zee Studios, Candid Creations, ZEE5"
,Love Sex Aur Dhokha 2,,,,[54],2024,3,A P R,19.0,Dibakar Banerjee,Mouni RoyNimrit Kaur AhluwaliaTusshar KapoorUrfi JavedSophie Choudry,"Balaji Telefilms, Cult Movies, DBP"
,Do Aur Do Pyaar,,,,[55],2024,3,A P R,19.0,Shirsha Guha Thakurta,Vidya BalanPratik GandhiIleana D'CruzSendhil Ramamurthy,"Applause Entertainment, Ellipsis Entertainment"
,Kaam Chalu Hai,,,,[56],2024,3,A P R,19.0,Palash Muchhal,Rajpal YadavGiaa ManekKurangi Nagraj,"Baseline Studios, Pal Music & Films, ZEE5"
,Appu,,,,[57],2024,3,A P R,19.0,Prosenjit Ganguly,Arjun BajwaRupa BhimaniAbhijit Bhunia,Appu Series
,Luv You Shankar,,,,[58],2024,3,A P R,19.0,Rajiv S. Ruia,Shreyas TalpadeTanishaa MukerjiAbhimanyu SinghHemant Pandey,SD World Film Production
,The Legacy of Jineshwar,,,,[59],2024,3,A P R,19.0,Pradeep P. JadhavVivek Iyer,Shubham VyasSurendra PalAnil LalwaniManish Bishla,"Mahaveer Talkies, Shri Khartargachha Sahastrabdi Mahotsava Samiti presentation"
,Ruslaan,,,,[60],2024,3,A P R,26.0,Karan Butani,Aayush SharmaSushrii Shreya MishraaJagapathi BabuVidya Malvade,Sri Sathya Sai Arts
,Main Ladega,,,,[61],2024,3,A P R,26.0,Gaurav Rana,Akash Pratap Singh,Kathakaar Films
,Srikanth,,,,[62],2024,3,M A Y,10.0,Tushar Hiranandani,Rajkummar RaoJyothikaAlaya FSharad Kelkar,"T-Series Films, Chalk N Cheese Films"
,Tipppsy,,,,[63],2024,3,M A Y,10.0,Deepak Tijori,Deepak TijoriNatasha SuriKainaat AroraNazia HussainAlankrita SahaiSonia Birje,"Raju Chaddha Wave Cinemas, Alliance Productions India, Black Canvas"
,Kartam Bhugtam,,,,[64],2024,3,M A Y,17.0,Soham P. Shah,Shreyas TalpadeVijay RaazMadhooAksha Pardasany,Gandhar Films & Studio
,Bhaiyya Ji,,,,[65],2024,3,M A Y,24.0,Apoorva Singh Karki,Manoj BajpayeeSuvinder VickyJatin GoswamiVipin SharmaZoya Hussain,"Bhanushali Studios, SSO Productions, Aurega Studios"
,Mr. & Mrs. Mahi,,,,[66],2024,3,M A Y,31.0,Sharan Sharma,Rajkummar RaoJanhvi Kapoor,"Zee Studios, Dharma Productions"
,Savi,,,,[67],2024,3,M A Y,31.0,Abhinay Deo,Anil KapoorDivya Khosla KumarHarshvardhan Rane,"T-Series Films, Vishesh Films"
,Chhota Bheem and the Curse of Damyaan,,,,[68],2024,3,M A Y,31.0,Rajiv Chilaka,Anupam KherMakrand DeshpandeSanjay BishnoiSurbhi TiwariYagya Bhasin,Green Gold Animation
,Dedh Bigha Zameen,,,,[69],2024,3,M A Y,31.0,Pulkit,Pratik GandhiKhushalii Kumar,"Karma Media and Entertainment, JioCinema"
,House of Lies,,,,[70],2024,3,M A Y,31.0,Saumitra Singh,Sanjay KapoorSsmilley SuriSimran Kaur SuriHiten Paintal,"Sebhariya Pictures, Kaali Movies PVT. LTD, ZEE5"
,Malhar[g],,,,[71],2024,3,J U N,7.0,Vishal Kumbhar,Sharib HashmiAnjali PatilRishi SaxenaMohammad SamadShrinivas Pokale,V Motion Pictures
,Bajrang Aur Ali,,,,[72],2024,3,J U N,7.0,Jaiveer,Sachin ParikhGaurav Shankar,UtterUp Films
,Blackout,,,,[73],2024,3,J U N,7.0,Devang Shashin Bhavsar,Vikrant MasseyMouni RoySunil Grover,"11:11 Productions, Jio Studios"
,Munjya,,,,[74],2024,3,J U N,7.0,Aditya Sarpotdar,SharvariAbhay VermaMona Singh,Maddock Films
,Phooli,,,,[75],2024,3,J U N,7.0,Avinash Dhyani,Avinash DhyaniSuruchi SaklaniRiya Baluni,"Padma Siddhi Films, Dream Sky Creations"
,Chandu Champion,,,,[76],2024,3,J U N,14.0,Kabir Khan,Kartik Aaryan,"Nadiadwala Grandson Entertainment, Kabir Khan Films"
,Manihar,,,,[77],2024,3,J U N,14.0,Sanjeev Kumar Rajput,Badrul IslamPankaj Berry,Jai Shree Movie Production
,Luv Ki Arrange Marriage,,,,[78],2024,3,J U N,14.0,Ishrat R. Khan,Sunny SinghAvneet KaurAnnu KapoorSupriya PathakRajpal Yadav,"Bhanushali Studios Limited, Thinkink Picturez, ZEE5"
,Ishq Vishk Rebound,,,,[79],2024,3,J U N,21.0,Nipun Dharmadhikari,Rohit SarafPashmina RoshanJibraan KhanNaila Grrewal,Tips Industries
,Maharaj,,,,[80],2024,3,J U N,21.0,Siddharth P. Malhotra,Junaid KhanJaideep AhlawatShalini PandeySharvari,"YRF Entertainment, Netflix"
,Hamare Baarah,,,,[81],2024,3,J U N,21.0,Kamal Chandra,Annu KapoorParth SamthaanManoj Joshi,"Radhika G Film, Newtech Media Entertainment"
,Pushtaini,,,,[82],2024,3,J U N,21.0,Vinod Rawat,Vinod RawatHemant PandeyShashi Bhushan,Lotus Dust Pictures
,Jahangir National University,,,,[83],2024,3,J U N,21.0,Vinay Sharma,Siddharth BodkeUrvashi RautelaRashami DesaiPiyush MishraRavi Kishan,Mahakaal Movies
,Rautu Ka Raaz,,,,[84],2024,3,J U N,28.0,Anand Surapur,Nawazuddin SiddiquiRajesh KumarNarayani ShastriAtul Tiwari,"Zee Studios, Phat Phish Records, ZEE5"
,Sharmajee Ki Beti,,,,[85],2024,3,J U N,28.0,Tahira Kashyap Khurana,Divya DuttaSakshi TanwarSaiyami KherSharib Hashmi,"Applause Entertainment, Ellipsis Entertainment, Amazon Prime Video"
,Kooki,,,,[86],2024,3,J U N,28.0,Pranab J Deka,Ritisha KhaundRajesh TailangRina RaniDipannita SharmaDevoleena Bhattacharjee,"Niri Media Opc Private Limited, Jai Viratra Entertainment Limited"
,,,,,,2024,3,J U N,,,,
,Kill,,,,[87],2024,4,J U L,5.0,Nikhil Nagesh Bhat,LakshyaRaghav JuyalTanya Maniktala,"Lionsgate, Roadside Attractions, Dharma Productions, Sikhya Entertainment"
,Wild Wild Punjab,,,,[88],2024,4,J U L,10.0,Simarpreet Singh,Varun SharmaSunny SinghManjot SinghJassie GillPatralekha PaulIshita Raj Sharma,"T-Series Films, Luv Films, Netflix"
,Sarfira,,,,[89],2024,4,J U L,12.0,Sudha Kongara,Akshay KumarParesh RawalRadhika Madan,"Cape of Good Films, 2D Entertainment, Abundantia Entertainment"
,Kakuda,,,,[90],2024,4,J U L,12.0,Aditya Sarpotdar,Riteish DeshmukhSonakshi SinhaSaqib Saleem,"RSVP Movies, ZEE5"
,Bad Newz,,,,[91],2024,4,J U L,19.0,Anand Tiwari,Vicky KaushalTriptii DimriAmmy VirkNeha Dhupia,"Dharma Productions, Leo Media Collective"
,Accident or Conspiracy: Godhra,,,,[92],2024,4,J U L,19.0,M.K Shivaaksh,Ranvir ShoreyManoj Joshi,"Om Trinetra Films, Artverse Studios"
,Bloody Ishq,,,,[93],2024,4,J U L,26.0,Vikram Bhatt,Avika GorVardhan Puri,"Hare Krishna Media Tech, Houseful Motion Pictures, Disney+ Hotstar"
,Pride,,,,[94],2024,4,J U L,26.0,Pankaj Kr Virat,Mimoh ChakrabortyAishwarya Raj BhakuniArif Zakaria,Omaks Productions
,Auron Mein Kahan Dum Tha,,,,[95],2024,4,A U G,2.0,Neeraj Pandey,Ajay DevgnTabuJimmy SheirgillShantanu MaheshwariSaiee Manjrekar,"Friday Filmworks, Panorama Studios, NH Studioz"
,Ulajh,,,,[96],2024,4,A U G,2.0,Sudhanshu Saria,Janhvi KapoorGulshan DevaiahRajesh TailangMeiyang ChangRoshan Mathew,Junglee Pictures
,Aliya Basu Gayab Hai,,,,[97],2024,4,A U G,9.0,Preeti Singh,Vinay PathakRaima SenSalim Diwan,"Rehab Pictures, Cinepolis India"
,Phir Aayi Hasseen Dillruba,,,,[98],2024,4,A U G,9.0,Jayprad Desai,Taapsee PannuVikrant MasseySunny KaushalJimmy Sheirgill,"T-Series Films, Colour Yellow Productions"
,Ghudchadi,,,,[99],2024,4,A U G,9.0,Binoy Gandhi,Sanjay DuttRaveena TandonParth SamthaanKhushalii Kumar,"T-Series Films, Keep Dreaming Pictures"
,Ghuspaithiya,,,,[100],2024,4,A U G,9.0,Susi Ganeshan,Urvashi RautelaVineet Kumar SinghAkshay Oberoi,"Suraj Production, 4V Entertainment, JDS Enterprises"
,Khel Khel Mein,,,,[101],2024,4,A U G,15.0,Mudassar Aziz,Akshay KumarTaapsee PannuFardeen KhanVaani KapoorAmmy VirkPragya JaiswalAditya Seal,"T-Series Films, Wakaoo Films, White World Production"
,Vedaa,,,,[102],2024,4,A U G,15.0,Nikkhil Advani,John AbrahamSharvariAbhishek BanerjeeAshish Vidyarthi,"Zee Studios, Emmay Entertainment, JA Entertainment"
,Stree 2,,,,[103][104],2024,4,A U G,15.0,Amar Kaushik,Shraddha KapoorRajkummar RaoAparshakti KhuranaPankaj TripathiAbhishek Banerjee,"Maddock Films, Jio Studios"
,Tikdam,,,,[105],2024,4,A U G,23.0,Vivek Anchalia,Amit SialArisht JainAarohi SaudDivyansh DwivediNayan Bhatt,"Jio Studios, JioCinema"
,A Wedding Story,,,,[106],2024,4,A U G,30.0,Abhinav Pareek,Vaibhav TatwawadiMukti MohanLakshvir Singh SaranMonica Chaudhary Akshay Anand,"Boundless Blackbuck Films Productions,1 Film Studio"
,Pad Gaye Pange,,,,[107],2024,4,A U G,30.0,Santosh Kumar,Samarpan SinghRajpal YadavRajesh SharmaFaisal MalikVarsha RekhateRrajesh Yadav,"Prachi Films & Utter Action, Bright Outdoor Media"
,Visfot,,,,[108],2024,4,S E P,6.0,Kookie Gulati,Riteish DeshmukhFardeen KhanPriya BapatKrystle D'Souza,"White Feather Films, JioCinema"
,The Buckingham Murders,,,,[109],2024,4,S E P,13.0,Hansal Mehta,Kareena Kapoor KhanAsh TandonRanveer BrarKeith Allen,"Balaji Motion Pictures, Mahana Films"
,Sector 36,,,,[110],2024,4,S E P,13.0,Aditya Nimbalkar,Vikrant MasseyDeepak Dobriyal,"Jio Studios, Maddock Films, Netflix"
,Berlin,,,,[111],2024,4,S E P,13.0,Atul Sabharwal,Ishwak SinghAparshakti KhuranaRahul BoseAnupriya GoenkaKabir Bedi,"Zee Studios, Yippee Ki Yay Motion Pictures, ZEE5"
,Adbhut,,,,[112],2024,4,S E P,15.0,Sabbir Khan,Nawazuddin SiddiquiDiana PentyShreya DhanwantharyRohan Mehra,"Sony Pictures India, Sabbir Khan Films, Sony Max"
,Kahan Shuru Kahan Khatam,,,,[113],2024,4,S E P,20.0,Saurabh Dasgupta,Dhvani BhanushaliAashim GulatiSupriya PilgaonkarRakesh BediSonali SachdevRajesh SharmaAkhilendra MishraChittranjan TripathyVikram KochharHimansh KohliVikas Verma,"Bhanushali Studios, Kathputli Creations"
,Yudhra,,,,[114],2024,4,S E P,20.0,Ravi Udyawar,Siddhant ChaturvediMalavika MohananRaghav JuyalGajraj RaoRam Kapoor,Excel Entertainment
,Nasha Jurm Aur Gangsters,,,,[115],2024,4,S E P,20.0,Rajkumar Patra,Rajkumar PatraRocky Rupkumar PatraYudiMunni PankajAbhijit Acharjee,Patras Glam Entertainment
,Jo Tera Hai Woh Mera Hai,,,,[116],2024,4,S E P,20.0,Raj Trivedi,Paresh RawalAmit SialFaisal MalikSonali KulkarniSonnalli Seygall,"Jio Studios, JAR Pictures, JioCinema"
,"Love, Sitara",,,,[117],2024,4,S E P,27.0,Vandana Kataria,Sobhita DhulipalaRajeev SiddharthaSonali KulkarniB. JayashreeVirginia RodriguesSanjay BhutianiTamara D’SouzaRijul Ray,"RSVP Movies, ZEE5"
,Binny And Family,,,,[118],2024,4,S E P,27.0,Ssanjay Tripaathy,Anjini DhawanPankaj KapurRajesh KumarCharu ShankarHimani ShivpuriNaman Tripathy,"Balaji Motion Pictures, Mahaveer Jain Films, Wave Band Productions"
,,,,,,2024,4,S E P,,,,
,,,,,,2024,4,S E P,,,,
,CTRL,,,,[119],2024,5,O C T,4.0,Vikramaditya Motwane,Ananya PandayVihaan Samat,"Saffron Magicworks, Andolan Films, Travelin' Bone Entertainment, Netflix"
,Amar Prem Ki Prem Kahani,,,,[120],2024,5,O C T,4.0,Hardik Gajjar,Sunny SinghAditya SealPranutan Bahl,"Jio Studios, Hardik Gajjar Films, Backbenchers Pictures, JioCinema"
,The Signature,,,,[121],2024,5,O C T,4.0,Gajendra Ahire,Anupam KherMahima ChaudhryNeena KulkarniAnnu KapoorRanvir Shorey,"Anupam Kher Studio, ZEE5"
,Jigra,,,,[122],2024,5,O C T,11.0,Vasan Bala,Alia BhattVedang Raina,"Viacom18 Studios, Dharma Productions, Eternal Sunshine Productions"
,Vicky Vidya Ka Woh Wala Video,,,,[123],2024,5,O C T,11.0,Raaj Shaandilyaa,Rajkummar RaoTriptii Dimri,"T-Series Films, Balaji Motion Pictures, Wakaoo Films, Thinkink Picturez"
,Aayushmati Geeta Matric Pass,,,,[124],2024,5,O C T,18.0,Prradip Khairwar,Kashika KapoorAnuj SainiAtul SrivastavAlka Amin,"Good Idea Films, Spunk Productions"
,Do Patti,,,,[125],2024,5,O C T,25.0,Shashanka Chaturvedi,KajolKriti SanonShaheer SheikhTanvi AzmiBrijendra KalaVivek MushranPrachi Shah,"Katha Pictures, Blue Butterfly Films, Netflix"
,Bandaa Singh Chaudhary,,,,[126],2024,5,O C T,25.0,Abhishek Saxena,Arshad WarsiMeher Vij,"Arbaaz Khan Production, Seamless Productions LLP, 8 Aks Movies & Entertainment, Cinekorn Entertainment"
,The Miranda Brothers,,,,[127],2024,5,O C T,25.0,Sanjay Gupta,Harshvardhan RaneMeezaan Jafri,"White Feather Films, JioCinema"
,Navras Katha Collage,,,,[128],2024,5,O C T,25.0,Praveen Hingonia,Praveen HingoniaSheeba ChaddhaRajesh SharmaAlka AminRevathi Pillai,Swardhrupad Productions
,Bhool Bhulaiyaa 3,,,,[129],2024,5,N O V,1.0,Anees Bazmee,Kartik AaryanVidya BalanMadhuri DixitTriptii Dimri,"T-Series Films, Cine1 Studios"
,Singham Again,,,,[130],2024,5,N O V,1.0,Rohit Shetty,Ajay DevgnAkshay KumarRanveer SinghTiger ShroffKareena Kapoor KhanDeepika PadukoneArjun KapoorJackie Shroff,"Jio Studios, Reliance Entertainment, Cinergy, Devgn Films, Rohit Shetty Picturez"
,Vijay 69,,,,[131],2024,5,N O V,8.0,Akshay Roy,Anupam KherChunky PandayMihir Ahuja,"YRF Entertainment, Netflix"
,Ella,,,,[132],2024,5,N O V,8.0,Roshan Fernandes,Isha TalwarMakarand DeshpandeSaranya Sharma,Prashu Land Films
,Khwaabon Ka Jhamela,,,,[133],2024,5,N O V,8.0,Danish Aslam,Prateik BabbarSayani GuptaKubbra Sait,"Jio Studios, Baweja Studios, JioCinema"
,The Sabarmati Report,,,,[134],2024,5,N O V,15.0,Dheeraj Sarna,Vikrant MasseyRaashii KhannaRiddhi Dogra,"Balaji Motion Pictures, Vikir Films"
,Naam,,,,[135],2024,5,N O V,22.0,Anees Bazmee,Ajay DevgnSameera ReddyBhumika ChawlaRahul Dev,"Snigdha Movies Pvt Ltd, Roongta Entertainment"
,I Want to Talk,,,,[136],2024,5,N O V,22.0,Shoojit Sircar,Abhishek BachchanAhilya BamrooJohny Lever,"Rising Sun Films, Kino Works"
,Sikandar Ka Muqaddar,,,,[137],2024,5,N O V,29.0,Neeraj Pandey,Jimmy ShergillTamannaah BhatiaAvinash Tiwary,"Friday Storytellers, Netflix"
,Agni,,,,[138],2024,5,D E C,6.0,Rahul Dholakia,Pratik GandhiDivyennduSaiyami KherJitendra JoshiSai Tamhankar,Excel Entertainment
,Zero Se Restart,,,,[139],2024,5,D E C,13.0,Vidhu Vinod Chopra,Vikrant MasseyMedha ShankarAnant V Joshi,Vinod Chopra Films
,Despatch,,,,[140],2024,5,D E C,13.0,Kanu Behl,Manoj BajpayeeShahana Goswami,"RSVP Movies, ZEE5"
,Vanvaas,,,,[141],2024,5,D E C,20.0,Anil Sharma,Nana PatekarUtkarsh SharmaSimrat KaurRajpal Yadav,"Zee Studios, Anil Sharma Productions"
,OutHouse,,,,,2024,5,D E C,20.0,Sunil Sukthankar,Sunil AbhyankarSharmila TagoreSonali KulkarniMohan AgasheJihan Jeetendra Hodar,Dr. Mohan Agashe Studios
,Baby John,,,,[142],2024,5,D E C,25.0,Kalees,Varun DhawanKeerthy SureshWamiqa GabbiJackie ShroffSanya Malhotra,"Jio Studios, Cine1 Studios, A for Apple Productions"
,Kisko Tha Pata,,,,[143],2024,5,D E C,25.0,Ratnaa Sinha,Ashnoor KaurAkshay OberoiAadil Khan,Zee Music Company
,,,,,,2024,5,D E C,,,,
,,,,,,2024,5,D E C,,,,
,,,,,,2024,5,D E C,,,,
