Rank[a],Title,Production Company,Distributor,Worldwide Gross,Ref.,Year,Table_Number,Opening,Opening.1,Director,Cast,Studio (production house)
1.0,Stree 2,Maddock FilmsJio Studios,PVR Inox PicturesPen Marudhar Entertainment,₹837–874.58 crore,[b][3],2024,1,,,,,
2.0,Bhool Bhulaiyaa 3,T-Series FilmsCine1 Studios,AA Films,₹371–423.85 crore,[c][3],2024,1,,,,,
3.0,Singham Again,Reliance EntertainmentJio StudiosRohit Shetty PicturezDevgn FilmsCinergy,PVR Inox Pictures,₹410 crore,[d][3],2024,1,,,,,
4.0,Fighter,Viacom18 StudiosMarflix Pictures,Viacom18 Studios,₹365 crore,[8][3],2024,1,,,,,
5.0,Shaitaan,Jio StudiosDevgn FilmsPanorama Studios,Panorama Studios,₹211.06 crore,[9][3],2024,1,,,,,
6.0,Crew,Balaji Motion PicturesAnil Kapoor Films & Communication Network,Pen Marudhar Entertainment,₹157.08 crore,[10][3],2024,1,,,,,
7.0,Teri Baaton Mein Aisa Uljha Jiya,Maddock FilmsJio Studios,Pen Marudhar Entertainment,₹133.64 crore,[11][3],2024,1,,,,,
8.0,Munjya,Maddock Films,Pen Marudhar Entertainment,₹132.13 crore,[12][3],2024,1,,,,,
9.0,Bad Newz,Dharma ProductionsLeo Media CollectiveAmazon Prime,AA Films,₹115.74 crore,[13][3],2024,1,,,,,
10.0,Article 370,B62 StudiosJio Studios,PVR Inox Pictures,₹110.57 crore,[14][3],2024,1,,,,,
,Tauba Tera Jalwa,,,,[15],2024,2,J A N,5.0,Akashaditya Lama,Jatin KhuranaAmeesha PatelAngela Krislinzki,"Shreeram Productions, Victorious Enterprises"
,Merry Christmas[e],,,,[16],2024,2,J A N,12.0,Sriram Raghavan,Katrina KaifVijay Sethupathi,"Tips Industries, Matchbox Pictures"
,Main Atal Hoon,,,,[17],2024,2,J A N,19.0,Ravi Jadhav,Pankaj Tripathi,"Bhanushali Studios, Legend Studios"
,Fighter,,,,[18],2024,2,J A N,25.0,Siddharth Anand,Hrithik RoshanDeepika PadukoneAnil KapoorKaran Singh GroverAkshay OberoiSanjeeda Sheikh,"Viacom18 Studios, Marflix Pictures"
,,,,,,2024,2,F E B,,,,
,Teri Baaton Mein Aisa Uljha Jiya,,,,[19],2024,2,F E B,9.0,Amit JoshiAradhana Sah,Shahid KapoorKriti SanonDharmendraDimple Kapadia,"Jio Studios, Maddock Films"
,Bhakshak,,,,[20],2024,2,F E B,9.0,Pulkit,Bhumi PednekarSanjay MishraSai TamhankarAditya Srivastava,"Red Chillies Entertainment, Netflix"
,Lantrani,,,,[21],2024,2,F E B,9.0,Gurvinder SinghKaushik GangulyBhaskar Hazarika,Jitendra KumarJisshu SenguptaJohnny LeverNimisha SajayanSanjay MahanandBoloram Das,"Neeljai Films, Tyche Films Media Solutions, ZEE5"
,Mirg,,,,[22],2024,2,F E B,9.0,Tarun Sharma,Satish KaushikAnup SoniShwetaabh SinghRaj Babbar,"Studio RA, NaMA Productions, OneShot Films"
,Dashmi,,,,[23],2024,2,F E B,16.0,Shantanu Anant Tambe,Vardhan PuriGaurav SareenSanjay PandeyRajesh Jais,3S Movies
,Kuch Khattaa Ho Jaay,,,,[24],2024,2,F E B,16.0,G. Ashok,Guru RandhawaSaiee ManjrekarAnupam KherIla Arun,Mach Films
,Crakk,,,,[25],2024,2,F E B,23.0,Aditya Datt,Vidyut JammwalNora FatehiArjun RampalAmy Jackson,Action Hero Films
,Article 370,,,,[26],2024,2,F E B,23.0,Aditya Suhas Jambhale,Yami GautamPriyamaniSkand ThakurAshwini KaulVaibhav TatwawadiArun GovilKiran Karmarkar,"Jio Studios, B62 Studios"
,All India Rank,,,,[27],2024,2,F E B,23.0,Varun Grover,Bodhisattva SharmaSamta SudikshaSheeba ChaddhaGeeta AgrawalNeeraj Ayush PandeySaadat Khan,"Matchbox Shots, Karmic Films, Clocktower Pictures & Co."
,Chote Nawab,,,,[28],2024,2,F E B,23.0,Kumud Chaudhary,Akshay OberoiPlabita BorthakurSvar KambleShataf FigarEkavali KhannaRajshri DeshpandeFalaq NaazSadiya SiddiquiLalit TiwariSohaila KapurAyush TandonNeeraj Sood,Yoodlee Films
,Laapataa Ladies,,,,[29],2024,2,M A R,1.0,Kiran Rao,Ravi KishanNitanshi GoelPratibha RantaSparsh SrivastavChhaya Kadam,"Jio Studios, Aamir Khan Productions, Kindling Pictures"
