Title,Movie_Cast,Director,Genre,Year
Kartam Bhugtam,Shreyas TalpadeVijay RaazMadhooAksha Pardasany,Soham P. Shah,NA,2024
Bhaiyya Ji,Manoj BajpayeeSuvinder VickyJatin GoswamiVipin SharmaZoya Hussain,Apoorva Singh Karki,NA,2024
Mr. & Mrs. Mahi,Rajkummar RaoJanhvi Kapoor,Sharan Sharma,NA,2024
Savi,Anil KapoorDivya Khosla KumarHarshvardhan Rane,Abhinay Deo,NA,2024
Chhota Bheem and the Curse of Damyaan,Anupam KherMakrand DeshpandeSanjay BishnoiSurbhi TiwariYagya Bhasin,Rajiv Chilaka,NA,2024
Dedh Bigha Zameen,Pratik GandhiKhushalii Kumar,Pulkit,NA,2024
House of Lies,Sanjay KapoorSsmilley SuriSimran Kaur SuriHiten Paintal,Saumitra Singh,NA,2024
Malhar[g],Sharib HashmiAnjali PatilRishi SaxenaMohammad SamadShrinivas Pokale,Vishal Kumbhar,NA,2024
Bajrang Aur Ali,Sachin ParikhGaurav Shankar,Jaiveer,NA,2024
Blackout,Vikrant MasseyMouni RoySunil Grover,Devang Shashin Bhavsar,NA,2024
Munjya,SharvariAbhay VermaMona Singh,Aditya Sarpotdar,NA,2024
Phooli,Avinash DhyaniSuruchi SaklaniRiya Baluni,Avinash Dhyani,NA,2024
Chandu Champion,Kartik Aaryan,Kabir Khan,NA,2024
Manihar,Badrul IslamPankaj Berry,Sanjeev Kumar Rajput,NA,2024
Luv Ki Arrange Marriage,Sunny SinghAvneet KaurAnnu KapoorSupriya PathakRajpal Yadav,Ishrat R. Khan,NA,2024
Ishq Vishk Rebound,Rohit SarafPashmina RoshanJibraan KhanNaila Grrewal,Nipun Dharmadhikari,NA,2024
Maharaj,Junaid KhanJaideep AhlawatShalini PandeySharvari,Siddharth P. Malhotra,NA,2024
Hamare Baarah,Annu KapoorParth SamthaanManoj Joshi,Kamal Chandra,NA,2024
Pushtaini,Vinod RawatHemant PandeyShashi Bhushan,Vinod Rawat,NA,2024
Jahangir National University,Siddharth BodkeUrvashi RautelaRashami DesaiPiyush MishraRavi Kishan,Vinay Sharma,NA,2024
Rautu Ka Raaz,Nawazuddin SiddiquiRajesh KumarNarayani ShastriAtul Tiwari,Anand Surapur,NA,2024
Sharmajee Ki Beti,Divya DuttaSakshi TanwarSaiyami KherSharib Hashmi,Tahira Kashyap Khurana,NA,2024
Kooki,Ritisha KhaundRajesh TailangRina RaniDipannita SharmaDevoleena Bhattacharjee,Pranab J Deka,NA,2024
NA,NA,NA,NA,2024
Kill,LakshyaRaghav JuyalTanya Maniktala,Nikhil Nagesh Bhat,NA,2024
Wild Wild Punjab,Varun SharmaSunny SinghManjot SinghJassie GillPatralekha PaulIshita Raj Sharma,Simarpreet Singh,NA,2024
Sarfira,Akshay KumarParesh RawalRadhika Madan,Sudha Kongara,NA,2024
Kakuda,Riteish DeshmukhSonakshi SinhaSaqib Saleem,Aditya Sarpotdar,NA,2024
Bad Newz,Vicky KaushalTriptii DimriAmmy VirkNeha Dhupia,Anand Tiwari,NA,2024
Accident or Conspiracy: Godhra,Ranvir ShoreyManoj Joshi,M.K Shivaaksh,NA,2024
Bloody Ishq,Avika GorVardhan Puri,Vikram Bhatt,NA,2024
Pride,Mimoh ChakrabortyAishwarya Raj BhakuniArif Zakaria,Pankaj Kr Virat,NA,2024
Auron Mein Kahan Dum Tha,Ajay DevgnTabuJimmy SheirgillShantanu MaheshwariSaiee Manjrekar,Neeraj Pandey,NA,2024
Ulajh,Janhvi KapoorGulshan DevaiahRajesh TailangMeiyang ChangRoshan Mathew,Sudhanshu Saria,NA,2024
Aliya Basu Gayab Hai,Vinay PathakRaima SenSalim Diwan,Preeti Singh,NA,2024
Phir Aayi Hasseen Dillruba,Taapsee PannuVikrant MasseySunny KaushalJimmy Sheirgill,Jayprad Desai,NA,2024
