Title,Movie_Cast,Director,Genre,Year
dhadak 2,Siddhant ChaturvediTriptii Dimri,Shazia Iqbal,"drama, romantic",2025
war 2,Hrithik RoshanN. T. Rama Rao Jr.Kiara Advani,Ayan Mukerji,action,2025
the delhi files,Mithun ChakrabortyAnupam KherPuneet IssarGovind NamdevBabbu MaanPallavi JoshiPalomi Ghosh,Vivek Agnihotri,,2025
baaghi 4,Tiger ShroffSanjay DuttSonam BajwaHarnaaz Sandhu,A. Harsha,,2025
sunny sanskari ki tulsi kumari,Varun DhawanJanhvi KapoorSanya MalhotraRohit Saraf,Shashank Khaitan,,2025
jolly llb 3,Akshay KumarArshad WarsiHuma QureshiAmrita RaoSaurabh ShuklaAnnu Kapoor,Subhash Kapoor,"drama, comedy",2025
haunted 3d: ghosts of the past,Mahaakshay ChakrabortyChetna Pande,Vikram Bhatt,,2025
ikkis,DharmendraAgastya NandaJaideep AhlawatSimar Bhatia,Sriram Raghavan,,2025
ek deewane ki deewaniyat,Harshvardhan RaneSonam Bajwa,Milap Zaveri,Unknown,2025
thama,Ayushmann KhurranaRashmika MandannaNawazuddin SiddiquiParesh Rawal,Aditya Sarpotdar,,2025
untitled film,Kartik AaryanSreeleela,Anurag Basu,Unknown,2025
de de pyaar de 2,Ajay DevgnR. MadhavanRakul Preet Singh,Anshul Sharma,"comedy, romantic",2025
120 bahadur,Farhan Akhtar,Razneesh ‘Razy’ Ghai,,2025
tere ishk mein,DhanushKriti Sanon,Aanand L. Rai,,2025
untitled film,Shahid KapoorRandeep HoodaNana PatekarTriptii Dimri,Vishal Bhardwaj,Unknown,2025
alpha,Alia BhattSharvariAnil KapoorBobby Deol,Shiv Rawail,,2025
dacoit,Adivi SeshMrunal Thakur,Shaneil Deo,,2025
shakti shalini,,,,2025
