Title,Movie_Cast,Director,Genre,Year
love sex aur dhokha 2,Mouni RoyNimrit Kaur AhluwaliaTusshar KapoorUrfi JavedSophie Choudry,Dibakar Banerjee,"drama, anthology",2024
do aur do pyaar,Vidya BalanPratik GandhiIleana D'CruzSendhil Ramamurthy,Shirsha Guha Thakurta,"comedy, romantic",2024
kaam chalu hai,Rajpal YadavGiaa ManekKurangi Nagraj,Palash Muchhal,drama,2024
appu,Arjun BajwaRupa BhimaniAbhijit Bhunia,Prosenjit Ganguly,,2024
luv you shankar,Shreyas TalpadeTanishaa MukerjiAbhimanyu SinghHemant Pandey,Rajiv S. Ruia,drama,2024
the legacy of jineshwar,Shubham VyasSurendra PalAnil LalwaniManish Bishla,Pradeep P. JadhavVivek Iyer,Unknown,2024
ruslaan,Aayush SharmaSushrii Shreya MishraaJagapathi BabuVidya Malvade,Karan Butani,action,2024
main ladega,Akash Pratap Singh,Gaurav Rana,drama,2024
srikanth,Rajkummar RaoJyothikaAlaya FSharad Kelkar,Tushar Hiranandani,biographical,2024
tipppsy,Deepak TijoriNatasha SuriKainaat AroraNazia HussainAlankrita SahaiSonia Birje,Deepak Tijori,"drama, thriller",2024
kartam bhugtam,Shreyas TalpadeVijay RaazMadhooAksha Pardasany,Soham P. Shah,"thriller, psychological",2024
bhaiyya ji,Manoj BajpayeeSuvinder VickyJatin GoswamiVipin SharmaZoya Hussain,Apoorva Singh Karki,"action, thriller",2024
mr. & mrs. mahi,Rajkummar RaoJanhvi Kapoor,Sharan Sharma,"drama, romantic, sports",2024
savi,Anil KapoorDivya Khosla KumarHarshvardhan Rane,Abhinay Deo,"action, thriller",2024
chhota bheem and the curse of damyaan,Anupam KherMakrand DeshpandeSanjay BishnoiSurbhi TiwariYagya Bhasin,Rajiv Chilaka,"action, fantasy, adventure",2024
dedh bigha zameen,Pratik GandhiKhushalii Kumar,Pulkit,drama,2024
house of lies,Sanjay KapoorSsmilley SuriSimran Kaur SuriHiten Paintal,Saumitra Singh,Unknown,2024
malhar[g],Sharib HashmiAnjali PatilRishi SaxenaMohammad SamadShrinivas Pokale,Vishal Kumbhar,,2024
bajrang aur ali,Sachin ParikhGaurav Shankar,Jaiveer,drama,2024
blackout,Vikrant MasseyMouni RoySunil Grover,Devang Shashin Bhavsar,"comedy, thriller",2024
munjya,SharvariAbhay VermaMona Singh,Aditya Sarpotdar,"comedy, horror",2024
munjya,SharvariAbhay VermaMona Singh,Aditya Sarpotdar,"comedy, horror",2024
phooli,Avinash DhyaniSuruchi SaklaniRiya Baluni,Avinash Dhyani,,2024
chandu champion,Kartik Aaryan,Kabir Khan,"drama, biographical, sports",2024
manihar,Badrul IslamPankaj Berry,Sanjeev Kumar Rajput,Unknown,2024
luv ki arrange marriage,Sunny SinghAvneet KaurAnnu KapoorSupriya PathakRajpal Yadav,Ishrat R. Khan,"drama, comedy, romantic",2024
ishq vishk rebound,Rohit SarafPashmina RoshanJibraan KhanNaila Grrewal,Nipun Dharmadhikari,"drama, comedy, romantic",2024
